Gouvernorat,Black_Friday,Saint_Valentin,Soldes_Hiver,Soldes_Été,Mother's_Day,Woman's_Day,Father's_Day,Noël
Tunis,9.0,53.0,284.0,2.0,0.0,150.0,0.0,344.0
Ariana,7.0,28.0,113.0,0.0,0.0,60.0,0.0,169.0
Ben Arous,1.0,30.0,110.0,1.0,0.0,51.0,0.0,138.0
Manouba,1.0,26.0,91.0,0.0,0.0,52.0,0.0,97.0
Nabeul,3.0,35.0,141.0,1.0,0.0,78.0,0.0,169.0
Zaghouan,0.0,7.0,23.0,0.0,0.0,10.0,0.0,25.0
Bizerte,3.0,20.0,85.0,1.0,0.0,50.0,0.0,104.0
Béja,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jendouba,3.0,7.0,48.0,0.0,0.0,21.0,0.0,54.0
Le Kef,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Siliana,0.0,3.0,16.0,1.0,0.0,10.0,0.0,33.0
Kairouan,3.0,23.0,81.0,2.0,0.0,45.0,0.0,91.0
Kasserine,3.0,16.0,60.0,0.0,0.0,29.0,0.0,81.0
Sidi Bouzid,1.0,11.0,64.0,0.0,0.0,27.0,0.0,77.0
Sousse,7.0,21.0,96.0,1.0,0.0,49.0,0.0,155.0
Mahdia,7.0,27.0,129.0,0.0,0.0,60.0,0.0,138.0
Monastir,0.0,22.0,127.0,0.0,0.0,59.0,0.0,155.0
Gabès,4.0,10.0,72.0,0.0,0.0,35.0,0.0,93.0
Médenine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gafsa,2.0,29.0,106.0,1.0,0.0,44.0,0.0,100.0
Tozeur,1.0,1.0,33.0,0.0,0.0,23.0,0.0,22.0
Kébili,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tataouine,0.0,14.0,50.0,1.0,0.0,23.0,0.0,65.0
Seliana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
